title,rank,date,artist,url,region,chart,trend,streams
Af Okkur,26,2018-02-08,"JóiPé, Króli, Helgi B, Helgi A",https://open.spotify.com/track/4ranVZMGU28qHZS6DBBdHc,Iceland,top200,MOVE_DOWN,2371
Too Good At Goodbyes,27,2018-02-08,Sam Smith,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,Iceland,top200,SAME_POSITION,2319
Never Be the Same,28,2018-02-08,Camila Cabello,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ,Iceland,top200,SAME_POSITION,2273
No Limit,29,2018-02-08,"G-Eazy, A$AP Rocky, Cardi B",https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW,Iceland,top200,MOVE_UP,2235
I Fall Apart,30,2018-02-08,Post Malone,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,Iceland,top200,MOVE_DOWN,2187
New Rules,31,2018-02-08,Dua Lipa,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,Iceland,top200,MOVE_UP,2095
Fullir vasar,32,2018-02-08,Aron Can,https://open.spotify.com/track/1uSHDCNSLvIIznJVjc7lpT,Iceland,top200,MOVE_UP,2019
Geri ekki neitt (feat. Unnsteinn),33,2018-02-08,Aron Can,https://open.spotify.com/track/4JJsRhWmh6RdvDOWorg3up,Iceland,top200,MOVE_UP,2015
IDGAF,34,2018-02-08,Dua Lipa,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,Iceland,top200,MOVE_UP,2010
Narcos,35,2018-02-08,Migos,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK,Iceland,top200,MOVE_DOWN,1987
Jocelyn Flores,36,2018-02-08,XXXTENTACION,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,Iceland,top200,MOVE_UP,1979
Tveggja Sæta,37,2018-02-08,"Geisha Cartel, Birnir",https://open.spotify.com/track/4ZZR5W3Wzj7gl8PJEaWVvm,Iceland,top200,MOVE_UP,1963
Bartier Cardi (feat. 21 Savage),38,2018-02-08,Cardi B,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT,Iceland,top200,MOVE_DOWN,1961
Filthy,39,2018-02-08,Justin Timberlake,https://open.spotify.com/track/5ZpjODX6OH1xZs3AOewTO6,Iceland,top200,MOVE_DOWN,1919
Shape of You,40,2018-02-08,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Iceland,top200,MOVE_DOWN,1863
Silence,41,2018-02-08,"Marshmello, Khalid",https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,Iceland,top200,MOVE_UP,1841
Wolves,42,2018-02-08,"Selena Gomez, Marshmello",https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,Iceland,top200,SAME_POSITION,1823
Ísköld,43,2018-02-08,Floni,https://open.spotify.com/track/1cPbUxHuNnSVQbukUrnY8O,Iceland,top200,SAME_POSITION,1765
Vor í Vaglaskógi,44,2018-02-08,KALEO,https://open.spotify.com/track/2OdpZeTpnbqPqBrclk2pib,Iceland,top200,MOVE_UP,1720
Young Dumb & Broke,45,2018-02-08,Khalid,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,Iceland,top200,MOVE_DOWN,1665
Lítur Allt Út Fyrir Það,46,2018-02-08,"Herra Hnetusmjör, Joe Frazier",https://open.spotify.com/track/2uxgB4UcIGA04GIfohHq6Y,Iceland,top200,MOVE_UP,1615
Áfram - JóiPé,47,2018-02-08,Arion Banki,https://open.spotify.com/track/5SGDC3IaS4ExBnDz4KXjJJ,Iceland,top200,MOVE_DOWN,1593
Ég ætla að skemmta mér,48,2018-02-08,Albatross,https://open.spotify.com/track/3x2LYcONFGlSKrhquu8Ogu,Iceland,top200,SAME_POSITION,1589
Joey Cypher,49,2018-02-08,"Joey Christ, Aron Can, Herra Hnetusmjör, Birnir",https://open.spotify.com/track/24nlSZHHUx0XAzo7WDzUTa,Iceland,top200,MOVE_UP,1572
Unforgettable,50,2018-02-08,"French Montana, Swae Lee",https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,Iceland,top200,MOVE_DOWN,1543
XO Tour Llif3,51,2018-02-08,Lil Uzi Vert,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,Iceland,top200,MOVE_UP,1497
Leiðin okkar allra,52,2018-02-08,Hjálmar,https://open.spotify.com/track/49QU7ilDChdLjgopx4rzax,Iceland,top200,MOVE_UP,1470
Feel It Still,53,2018-02-08,Portugal. The Man,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,Iceland,top200,MOVE_DOWN,1447
Anywhere,54,2018-02-08,Rita Ora,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2,Iceland,top200,MOVE_DOWN,1447
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",55,2018-02-08,Rudimental,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,Iceland,top200,MOVE_UP,1432
Spurðu Um Mig,56,2018-02-08,Herra Hnetusmjör,https://open.spotify.com/track/6AUvfF9stqeOi493oJDtlq,Iceland,top200,MOVE_DOWN,1428
PartyPoki,57,2018-02-08,"Yung Nigo Drippin', Bjarki Gucci",https://open.spotify.com/track/05qaqjuhumUUHWLDVRchFi,Iceland,top200,MOVE_UP,1416
Tala Saman,58,2018-02-08,Floni,https://open.spotify.com/track/2tUBa92HN6pkaOBgfCww4h,Iceland,top200,MOVE_UP,1413
Labba Inn,59,2018-02-08,"JóiPé, Króli, Sdóri",https://open.spotify.com/track/2nhWiRTIwfiN0INbjxkiYZ,Iceland,top200,MOVE_UP,1397
Ár Eftir Ár,60,2018-02-08,Herra Hnetusmjör,https://open.spotify.com/track/2KVcqOa2vBKJDIomchdR0C,Iceland,top200,MOVE_DOWN,1387
Þetta má,61,2018-02-08,"Emmsjé Gauti, Herra Hnetusmjör",https://open.spotify.com/track/4WiK8hgPt5QgwGdt9z7MrJ,Iceland,top200,MOVE_DOWN,1368
This Is Me,62,2018-02-08,"Keala Settle, The Greatest Showman Ensemble",https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U,Iceland,top200,MOVE_DOWN,1362
Time,63,2018-02-08,Sturla Atlas,https://open.spotify.com/track/3WR3mQ8SDjJgxbdOFrqfca,Iceland,top200,MOVE_UP,1361
HUMBLE.,64,2018-02-08,Kendrick Lamar,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,Iceland,top200,MOVE_DOWN,1355
What Lovers Do (feat. SZA),65,2018-02-08,Maroon 5,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,Iceland,top200,MOVE_UP,1335
Naked,66,2018-02-08,James Arthur,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl,Iceland,top200,MOVE_UP,1322
Rewrite The Stars,67,2018-02-08,"Zac Efron, Zendaya",https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,Iceland,top200,MOVE_DOWN,1296
PICK IT UP (feat. A$AP Rocky),68,2018-02-08,Famous Dex,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd,Iceland,top200,MOVE_DOWN,1291
Meant to Be (feat. Florida Georgia Line),69,2018-02-08,Bebe Rexha,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,Iceland,top200,SAME_POSITION,1289
Taktlaus,70,2018-02-08,"JóiPé, Króli",https://open.spotify.com/track/5Mb8tSc33qkWgGq55ZLxFT,Iceland,top200,MOVE_DOWN,1283
I Miss You (feat. Julia Michaels),71,2018-02-08,Clean Bandit,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL,Iceland,top200,MOVE_UP,1252
The Middle,72,2018-02-08,"Zedd, Maren Morris, Grey",https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,Iceland,top200,MOVE_UP,1246
Dusk Till Dawn - Radio Edit,73,2018-02-08,"ZAYN, Sia",https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,Iceland,top200,MOVE_UP,1244
Pray,74,2018-02-08,Sam Smith,https://open.spotify.com/track/7DsX5K72fewVGb47qj7Tbg,Iceland,top200,MOVE_DOWN,1242
Betrayed,75,2018-02-08,Lil Xan,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG,Iceland,top200,MOVE_DOWN,1238
Candy Paint,76,2018-02-08,Post Malone,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf,Iceland,top200,MOVE_UP,1226
"Let Me Go (with Alesso, Florida Georgia Line & watt)",77,2018-02-08,Hailee Steinfeld,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y,Iceland,top200,MOVE_DOWN,1226
MotorSport,78,2018-02-08,"Migos, Nicki Minaj, Cardi B",https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt,Iceland,top200,MOVE_DOWN,1218
Him & I (with Halsey),79,2018-02-08,G-Eazy,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4,Iceland,top200,MOVE_DOWN,1213
Sick Boy,80,2018-02-08,The Chainsmokers,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0,Iceland,top200,MOVE_UP,1211
Say You Won't Let Go,81,2018-02-08,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,Iceland,top200,MOVE_UP,1199
Þetta Er Rán (feat. Króli),82,2018-02-08,SZK,https://open.spotify.com/track/4ZN2X1O1lAYZy3ZqmGqJeo,Iceland,top200,MOVE_UP,1198
I Know,83,2018-02-08,Sturla Atlas,https://open.spotify.com/track/745YR4QDaT3pxvaZcBBPbF,Iceland,top200,MOVE_DOWN,1180
Congratulations,84,2018-02-08,"Post Malone, Quavo",https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,Iceland,top200,MOVE_DOWN,1177
Alltof Hratt,85,2018-02-08,Floni,https://open.spotify.com/track/7u2trOsaFQrFwbL9HH8tdR,Iceland,top200,MOVE_UP,1170
How Long,86,2018-02-08,Charlie Puth,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi,Iceland,top200,MOVE_DOWN,1158
Bróðir,87,2018-02-08,Úlfur Úlfur,https://open.spotify.com/track/5ugWOBXogNqFeLGOkHffhd,Iceland,top200,MOVE_UP,1145
Sorry Not Sorry,88,2018-02-08,Demi Lovato,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P,Iceland,top200,MOVE_DOWN,1141
Ric Flair Drip (& Metro Boomin),89,2018-02-08,Offset,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,Iceland,top200,MOVE_UP,1141
Ekki Switcha,90,2018-02-08,Birnir,https://open.spotify.com/track/1nEjslQgoXyJXWewc8SUTN,Iceland,top200,MOVE_UP,1131
BOOM,91,2018-02-08,"Tiësto, Sevenn",https://open.spotify.com/track/6VVeQurYVCeuIaxfpN6Y7X,Iceland,top200,MOVE_DOWN,1130
BUTTERFLY EFFECT,92,2018-02-08,Travis Scott,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX,Iceland,top200,MOVE_UP,1124
No Roots,93,2018-02-08,Alice Merton,https://open.spotify.com/track/7anBA0IdgFaN3Pbyk2tog0,Iceland,top200,MOVE_DOWN,1119
Ástarsaga,94,2018-02-08,Floni,https://open.spotify.com/track/6lrYOMWfNuQMC0dcB6e7oE,Iceland,top200,MOVE_UP,1118
Despacito - Remix,95,2018-02-08,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,Iceland,top200,MOVE_DOWN,1112
Go Flex,96,2018-02-08,Post Malone,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ,Iceland,top200,MOVE_UP,1112
Tip Toe (feat. French Montana),97,2018-02-08,Jason Derulo,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6,Iceland,top200,MOVE_DOWN,1105
Bank Account,98,2018-02-08,21 Savage,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G,Iceland,top200,NEW_ENTRY,1104
1-800-273-8255,99,2018-02-08,"Logic, Alessia Cara, Khalid",https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,Iceland,top200,MOVE_UP,1089
Bodak Yellow,100,2018-02-08,Cardi B,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM,Iceland,top200,MOVE_DOWN,1081
Þegar ég sá þig fyrst,101,2018-02-08,Jón Jónsson,https://open.spotify.com/track/61J6owm81JYJQCgOLkczgR,Iceland,top200,NEW_ENTRY,1081
goosebumps,102,2018-02-08,Travis Scott,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,Iceland,top200,NEW_ENTRY,1078
Gucci Gang,103,2018-02-08,Lil Pump,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,Iceland,top200,NEW_ENTRY,1076
Believer,104,2018-02-08,Imagine Dragons,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,Iceland,top200,MOVE_DOWN,1075
Way down We Go,105,2018-02-08,KALEO,https://open.spotify.com/track/0y1QJc3SJVPKJ1OvFmFqe6,Iceland,top200,MOVE_DOWN,1070
Pluggið Hringir,106,2018-02-08,Yung Nigo Drippin',https://open.spotify.com/track/4kxgrJnEImH6Shiu53Fg0m,Iceland,top200,NEW_ENTRY,1062
Walk It Talk It,107,2018-02-08,"Migos, Drake",https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP,Iceland,top200,MOVE_DOWN,1050
Redbone,108,2018-02-08,Childish Gambino,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,Iceland,top200,MOVE_DOWN,1048
Rómeó og Júlía,109,2018-02-08,Bubbi Morthens,https://open.spotify.com/track/0IdsoEg5mjXNqlrskkzWjl,Iceland,top200,NEW_ENTRY,1027
Plain Jane,110,2018-02-08,A$AP Ferg,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9,Iceland,top200,MOVE_DOWN,1025
Mi Gente (feat. Beyoncé),111,2018-02-08,"J Balvin, Willy William",https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw,Iceland,top200,NEW_ENTRY,1017
Échame La Culpa,112,2018-02-08,"Luis Fonsi, Demi Lovato",https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,Iceland,top200,NEW_ENTRY,1010
IDGAF,1,2018-02-08,Dua Lipa,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,Indonesia,top200,SAME_POSITION,84569
Havana (feat. Young Thug),2,2018-02-08,Camila Cabello,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,Indonesia,top200,SAME_POSITION,77828
Rewrite The Stars,3,2018-02-08,"Zac Efron, Zendaya",https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,Indonesia,top200,MOVE_UP,74827
Wolves,4,2018-02-08,"Selena Gomez, Marshmello",https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,Indonesia,top200,MOVE_DOWN,73892
Perfect,5,2018-02-08,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Indonesia,top200,SAME_POSITION,71096
So Far Away (feat. Jamie Scott & Romy Dya),6,2018-02-08,"Martin Garrix, David Guetta",https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM,Indonesia,top200,SAME_POSITION,63464
The Middle,7,2018-02-08,"Zedd, Maren Morris, Grey",https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,Indonesia,top200,SAME_POSITION,63361
All Falls Down (feat. Juliander),8,2018-02-08,"Alan Walker, Noah Cyrus, Digital Farm Animals",https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb,Indonesia,top200,SAME_POSITION,60727
Too Good At Goodbyes,9,2018-02-08,Sam Smith,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,Indonesia,top200,SAME_POSITION,60156
"Let Me Go (with Alesso, Florida Georgia Line & watt)",10,2018-02-08,Hailee Steinfeld,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y,Indonesia,top200,SAME_POSITION,58588
I Miss You (feat. Julia Michaels),11,2018-02-08,Clean Bandit,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL,Indonesia,top200,SAME_POSITION,56800
Thunder,12,2018-02-08,Imagine Dragons,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,Indonesia,top200,SAME_POSITION,52820
New Rules,13,2018-02-08,Dua Lipa,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,Indonesia,top200,SAME_POSITION,52698
This Is Me,14,2018-02-08,"Keala Settle, The Greatest Showman Ensemble",https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U,Indonesia,top200,SAME_POSITION,49725
Silence,15,2018-02-08,"Marshmello, Khalid",https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,Indonesia,top200,SAME_POSITION,48980
Jealous,16,2018-02-08,Labrinth,https://open.spotify.com/track/4L2K7JKseFCBoHMZEAszW0,Indonesia,top200,SAME_POSITION,48358
What Lovers Do (feat. SZA),17,2018-02-08,Maroon 5,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,Indonesia,top200,SAME_POSITION,47540
Dusk Till Dawn - Radio Edit,18,2018-02-08,"ZAYN, Sia",https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,Indonesia,top200,SAME_POSITION,46929
Best Part (feat. Daniel Caesar),19,2018-02-08,H.E.R.,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,Indonesia,top200,SAME_POSITION,45244
Back to You (feat. Bebe Rexha & Digital Farm Animals),20,2018-02-08,Louis Tomlinson,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6,Indonesia,top200,SAME_POSITION,44309
How Long,21,2018-02-08,Charlie Puth,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi,Indonesia,top200,MOVE_UP,42774
Perfect Duet (Ed Sheeran & Beyoncé),22,2018-02-08,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,Indonesia,top200,MOVE_UP,42226
More Than You Know,23,2018-02-08,Axwell /\ Ingrosso,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44,Indonesia,top200,SAME_POSITION,41775
I Like Me Better,24,2018-02-08,Lauv,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,Indonesia,top200,MOVE_UP,41318
Voor Dilan #III - Dulu Kita Masih Remaja,25,2018-02-08,The Panasdalam Bank,https://open.spotify.com/track/3gYjiNLGcAqX9RLg5Bw1nc,Indonesia,top200,MOVE_UP,40603
